,ko_id,abund_by_num_reads,abund_by_nts_covered_in_reads,abund_by_mean_cov,abund_by_median_cov
271,ko:K02836,0.00043878894251864854,0.0004641920317356274,0.0004763738791525477,0.0
272,ko:K04075,0.0006382384618453072,0.0006853228814994499,0.0006407402971735743,0.0
273,ko:K05833,7.977980773066337e-05,9.137638419992666e-05,0.00012085566240648538,0.0
274,ko:K03980,0.0007579081734413024,0.0008470590815333201,0.0005109333682467244,0.0
275,ko:K10546,0.00011966971159599506,0.00010538742977724875,9.685111605806156e-05,0.0
276,ko:K10548,0.00019944951932665843,0.00016325913977053563,0.00010909558210512037,0.0
277,ko:K05346,7.977980773066337e-05,9.137638419992666e-05,0.0001004080939630536,0.0
278,ko:K03305,0.0005983485579799754,0.0006737485395007925,0.0004504023661250954,0.0
279,ko:K13875,3.9889903865331685e-05,4.568819209996333e-05,2.7419178419132394e-05,0.0
280,ko:K17836,0.00019944951932665843,0.0001995051055031732,0.00020841650247064255,0.0
281,ko:K00852,0.0002393394231919901,0.00026377316239045495,0.00026560932630628205,0.0
282,ko:K07156,7.977980773066337e-05,9.137638419992666e-05,0.00014318975508817048,0.0
283,ko:K18230,3.9889903865331685e-05,2.1321156313316218e-05,1.239515112619456e-05,0.0
284,ko:K10547,7.977980773066337e-05,4.8429483625961124e-05,3.974098689305578e-05,0.0
285,ko:K09136,0.00043878894251864854,0.0004367791164756494,0.00023931340359056646,0.0
286,ko:K09927,0.00015955961546132674,0.0001663050192438665,0.0001391162050579208,0.0
287,ko:K02071,0.0004786788463839802,0.0005129261033089217,0.0005268609833497668,0.0
288,ko:K01990,0.0024332841357852324,0.002300857354154155,0.0028285014970605314,0.0
289,ko:K14727,7.977980773066337e-05,9.137638419992666e-05,9.745356074426843e-05,0.0
290,ko:K01482,3.9889903865331685e-05,4.568819209996333e-05,3.820050585578154e-05,0.0
291,ko:K07133,0.0005584586541146437,0.0005884639142475276,0.0004942462149076123,0.0
292,ko:K01554,7.977980773066337e-05,9.137638419992666e-05,0.00014608563177462291,0.0
293,ko:K00344,0.0004786788463839802,0.00045931862457829794,0.0004736788054518307,0.0
294,ko:K01749,0.0003191192309226535,0.0002768704441257778,0.00031250342318562435,0.0
295,ko:K02510,0.00011966971159599506,0.00013706457629989,0.00017706987784526688,0.0
296,ko:K05989,0.0002393394231919901,0.00023575107123581076,8.833550534259679e-05,0.0
297,ko:K14730,3.9889903865331685e-05,4.568819209996333e-05,5.66136993258345e-05,0.0
298,ko:K00761,0.0004786788463839802,0.0004185038396356641,0.0006889153523560949,0.0
299,ko:K09691,0.00019944951932665843,0.00022844096049981665,0.00023309262225534833,0.0
300,ko:K05714,3.9889903865331685e-05,4.568819209996333e-05,6.172003299051762e-05,0.0
301,ko:K18890,0.0004786788463839802,0.0005202362140449158,0.00029808721397117877,0.0
302,ko:K00969,0.0002792293270573218,0.00024153824223513944,0.00040638317668287717,0.0
303,ko:K18979,0.00035900913478798517,0.00036763765243103826,0.0003391146301013818,0.0
304,ko:K07577,0.00011966971159599506,0.00013706457629989,0.0001394448796174047,0.0
305,ko:K08996,3.9889903865331685e-05,4.568819209996333e-05,9.368219293203568e-05,0.0
306,ko:K20276,0.002393394231919901,0.002710832731264494,0.0003224147973604183,0.0
307,ko:K05565,0.00039889903865331685,0.00043891123210698104,0.0001735240448852953,0.0
308,ko:K02483,0.000518568750249312,0.00042825065395032296,0.0006751885188041255,0.0
309,ko:K01903,0.0008376879811719657,0.0008574150717426452,0.0007590374806792999,0.0
310,ko:K01495,0.0002792293270573218,0.0002546355239704623,0.00043057718345737914,0.0
311,ko:K19271,0.00011966971159599506,0.00013706457629989,0.00022210497318941598,0.0
312,ko:K03470,0.0003191192309226535,0.0002695603333897836,0.0004475230564869324,0.0
313,ko:K10780,3.9889903865331685e-05,4.568819209996333e-05,5.939097514181885e-05,0.0
314,ko:K03218,0.0007579081734413024,0.0007867506679613685,0.0010682865759201905,0.0
315,ko:K04759,0.0007180182695759707,0.0007666478634373847,0.00040116328204365775,0.0
316,ko:K03317,0.00015955961546132674,0.00017757477329519083,0.00013631088351252928,0.0
317,ko:K03770,0.0006382384618453072,0.0007032935703921022,0.0003901638593022199,0.0
